title,translation,file
"Grzyby jadalne, niejadalne i trujące. Jak je od siebie odróżnić?",GETTY,#6106 - Dzień Dobry TVN - Grzyby jadalne - jak odróżnić je od trujących_ _ Dzień Dobry TVN.docx
Sprawdzone i smaczne przepisy na naleśniki z serem,GETTY,"#6220 - Dzień Dobry TVN - Naleśniki z serem - przepis, kalorie _ Dzień Dobry TVN.docx"
Przepis na ciasto zebra na oleju – z oranżadą czy z kremem?,GETTY,"#6068 - Dzień Dobry TVN - Ciasto zebra - wilgotne, z kremem. Na dużą blachę _ Dzień Dobry TVN.docx"
"Ciasto murzynek - przepisy. Ciasto murzynek z dżemem, kremem, kokosem, powidłami lub bez dodatków - wszystkie równie pyszne!",GETTY,#6054 - Dzień Dobry TVN - Ciasto murzynek - jak upiec dobre ciasto murzynek_ _ Dzień Dobry TVN.docx
Dlaczego banknoty kolekcjonerskie są takie cenne?,GETTY,#6033 - Dzień Dobry TVN - Banknoty kolekcjonerskie - gdzie można je kupić_ _ Dzień Dobry TVN.docx
Angielskie śniadanie - przepis. Jak zrobić typowe angielskie śniadanie?,GETTY,"#6032 - Dzień Dobry TVN - Angielskie śniadanie - jak zrobić_ Przepisy, pomysły _ Dzień Dobry TVN.docx"
"Co jest ważne w fotelach wędkarskich? Sprawdzamy, jaki będzie najbardziej wygodny",GETTY,"#6093 - Dzień Dobry TVN - Fotel wędkarski - z podnóżkiem, wygodny. Najlepszy _ Dzień Dobry TVN.docx"
"Ciasto snikers, czyli przekładaniec miodowo - orzechowy z karmelem",GETTY,"#6059 - Dzień Dobry TVN - Ciasto snikers - z orzechami, krówką. Bez pieczenia _ Dzień Dobry TVN.docx"
Prawo jazdy za granicą - mity i rzeczywistość. Przykładowe kraje i ceny,GETTY,#5965 - Dzień Dobry TVN - Prawo jazdy za granicą - gdzie najłatwiej zdać_ Cena _ Dzień Dobry TVN.docx
"Karasie – do łowienia, jedzenia i ozdoby ",GETTY,"#6133 - Dzień Dobry TVN - Karasie - ozdobne, złote, do oczka wodnego. Zanęta _ Dzień Dobry TVN.docx"
Zupa kalafiorowa z makaronem i koperkiem – sprawdzony przepis na pyszną zupę kalafiorową,GETTY,"#5975 - Dzień Dobry TVN - Zupa kalafiorowa - z makaronem, koperkiem. Przepis _ Dzień Dobry TVN.docx"
Kamizelka na drutach – co jest potrzebne do wykonania. Jak ją nosić?,GETTY,"#6130 - Dzień Dobry TVN - Kamizelka na drutach - wzory, proste wykonanie _ Dzień Dobry TVN.docx"
"Teoria prawo jazdy – o stopniu trudności i cenach za egzamin teoretyczny, czyli prawo jazdy teoria w pigułce",GETTY,"#5966 - Dzień Dobry TVN - Teoria prawo jazdy - najważniejsze informacje, testy _ Dzień Dobry TVN.docx"
"Naleśniki z jabłkami w kilku pysznych wersjach, które nigdy się nie znudzą.",GETTY,"#6217 - Dzień Dobry TVN - Naleśniki z jabłkami - przepis, zapiekane _ Dzień Dobry TVN.docx"
"Borowik szlachetny – występowanie, cechy, budowa. Jak odróżnić borowika szlachetnego od goryczaka?",GETTY,"#6039 - Dzień Dobry TVN - Borowik szlachetny - budowa, cechy, występowanie _ Dzień Dobry TVN.docx"
Na karpia z wolnym biegiem czy bez? Kołowrotki karpiowe,GETTY,"#6150 - Dzień Dobry TVN - Kołowrotki karpiowe - z wolnym biegiem, do 200 zł _ Dzień Dobry TVN.docx"
Ciasto cytrynowe - lekki i wyrazisty deser dla każdego. Poznaj najciekawsze przepisy na ciasto cytrynowe,GETTY,"#6048 - Dzień Dobry TVN - Ciasto cytrynowe - z kremem, herbatnikami. Przepisy _ Dzień Dobry TVN.docx"
Maślak. Jak wygląda? Gdzie występuje? Jakie ma odmiany?,GETTY,"#6183 - Dzień Dobry TVN - Maślak - rodzaje, wygląd, występowanie _ Dzień Dobry TVN.docx"
Naleśniki z warzywami doskonałym pomysłem na zdrowy i sycący obiad. Znajdź swój ulubiony!,GETTY,"#6222 - Dzień Dobry TVN - Naleśniki z warzywami - zapiekane, z serem _ Dzień Dobry TVN.docx"
Biszkopt – przepis na biszkopt bez zakalca ,GETTY,#6034 - Dzień Dobry TVN - Biszkopt - przepis na biszkopt. Jak upiec biszkopt_ _ Dzień Dobry TVN.docx
Co warto wiedzieć o sprzedaży starych monet?,GETTY,#6185 - Dzień Dobry TVN - Monety kolekcjonerskie - gdzie można je sprzedać_ _ Dzień Dobry TVN.docx
Jak ubrać się na ryby. Odpowiedni kombinezon wędkarski zapewni nam bezpieczeństwo,GETTY,"#6151 - Dzień Dobry TVN - Kombinezon wędkarski - pływający, zimowy, gumowy _ Dzień Dobry TVN.docx"
